"#","Key","Question","Answer"
"1","differencebetweenletconstandvar","What is the Difference Between let, const and var?","In JavaScript, \`var\`, \`let\`, and \`const\` differ in scoping, hoisting, and re-assignment capabilities:

1. **Scope**:
   - \`var\` is function-scoped. It is accessible anywhere inside the function it is defined in.
   - \`let\` and \`const\` are block-scoped (contained within \`{}\`).

2. **Hoisting**:
   - \`var\` variables are hoisted and initialized as \`undefined\`.
   - \`let\` and \`const\` are hoisted but NOT initialized, staying in the **Temporal Dead Zone (TDZ)** until their declaration is evaluated.

3. **Re-assignment**:
   - \`var\` and \`let\` can be re-assigned.
   - \`const\` binds a value permanently and cannot be re-assigned (though object properties inside a \`const\` object can be mutated).

Example:
\`\`\`js
function scopeTest() {
  if (true) {
    var functionScoped = ""I am var"";
    let blockScoped = ""I am let"";
  }
  console.log(functionScoped); // Works (var is function-scoped)
  // console.log(blockScoped); // ReferenceError (let is block-scoped)
}
\`\`\`"
"2","differencebetweenand","What is the Difference Between And?","The difference between loose equality (\`==\`) and strict equality (\`===\`) is type coercion:

- **\`==\` (Loose Equality)**: Compares two values for equality after performing implicit type conversion (coercion) if their types differ.
- **\`===\` (Strict Equality)**: Compares both the value and the type. No type coercion is performed. If the types are different, it immediately returns \`false\`.

Example:
\`\`\`js
console.log(5 == ""5"");  // true (string ""5"" is coerced to number 5)
console.log(5 === ""5""); // false (types differ: number vs string)
console.log(null == undefined);  // true
console.log(null === undefined); // false
\`\`\`

**Best Practice**: Always use \`===\` to prevent unexpected bugs caused by implicit coercion."
"3","differencebetweeneveryandsome","What is the Difference Between every() and some()?","Both \`every()\` and \`some()\` are JavaScript array iteration methods that test elements against a callback function, but they differ in completion conditions:

- **\`every()\`**: Returns \`true\` if **all** elements in the array pass the test. It short-circuits (returns \`false\`) as soon as it finds one failing element.
- **\`some()\`**: Returns \`true\` if **at least one** element passes the test. It short-circuits (returns \`true\`) as soon as it finds one passing element.

Example:
\`\`\`js
const nums = [1, 2, -3, 4];

const allPositive = nums.every(n => n > 0); // false
const hasNegative = nums.some(n => n < 0);  // true
\`\`\`"
"4","differencebetweenmapandforeach","What is the Difference Between map() and forEach()?","Both methods iterate over arrays, but they serve different purposes:

- **\`map()\`**: Creates and returns a **new array** containing the results of calling the provided function on every element. It is pure and does not mutate the original array.
- **\`forEach()\`**: Executes a provided function once for each array element. It **returns \`undefined\`** and is used to perform side effects (e.g., logging, modifying external state).

Example:
\`\`\`js
const numbers = [1, 2, 3];

// map returns a new array
const doubled = numbers.map(num => num * 2); // [2, 4, 6]

// forEach performs a side effect
numbers.forEach(num => console.log(num)); // logs 1, 2, 3
\`\`\`

**Best Practice**: Use \`map()\` when you need to transform data, and \`forEach()\` when you need side effects. Never use \`map()\` if you aren't using the returned array."
"5","differencebetweenpromiseallandpromiserace","What is the Difference Between Promise.all() and Promise.race()?","These methods handle concurrent promises differently:

- **\`Promise.all()\`**: Takes an array of promises and returns a single Promise that resolves when **all** input promises resolve, or rejects immediately when **any** promise rejects (fail-fast).
- **\`Promise.race()\`**: Resolves or rejects as soon as **any one** of the input promises settles (either resolves or rejects).

Example:
\`\`\`js
const p1 = new Promise(resolve => setTimeout(() => resolve('P1 Fast'), 100));
const p2 = new Promise(resolve => setTimeout(() => resolve('P2 Slow'), 500));

Promise.all([p1, p2]).then(console.log);  // ['P1 Fast', 'P2 Slow'] (takes 500ms)
Promise.race([p1, p2]).then(console.log); // 'P1 Fast' (takes 100ms)
\`\`\`"
"6","differencebetweenshallowcopyanddeepcopy","What is the Difference Between Shallow Copy and Deep Copy?","Shallow copying and deep copying determine how nested objects are copied:

- **Shallow Copy**: Copies the top-level properties. If a property is a reference type (like an object or array), it copies the reference address, meaning both the copy and the original share the nested object.
- **Deep Copy**: Copies all levels of the object recursively, creating new memory addresses for all nested structures. Modifying the deep copy has no effect on the original.

Example:
\`\`\`js
const original = { name: ""John"", details: { city: ""Doha"" } };

// Shallow copy using spread
const shallow = { ...original };
shallow.details.city = ""London"";
console.log(original.details.city); // ""London"" (original mutated!)

// Deep copy using structuredClone
const deep = structuredClone(original);
deep.details.city = ""Tokyo"";
console.log(original.details.city); // ""London"" (original untouched)
\`\`\`"
"7","explaindeepcopyandshallowcopy","Explain Deepcopyandshallowcopy?","Shallow copying and deep copying determine how nested objects are copied:

- **Shallow Copy**: Copies the top-level properties. If a property is a reference type (like an object or array), it copies the reference address, meaning both the copy and the original share the nested object.
- **Deep Copy**: Copies all levels of the object recursively, creating new memory addresses for all nested structures. Modifying the deep copy has no effect on the original.

Example:
\`\`\`js
const original = { name: ""John"", details: { city: ""Doha"" } };

// Shallow copy using spread
const shallow = { ...original };
shallow.details.city = ""London"";
console.log(original.details.city); // ""London"" (original mutated!)

// Deep copy using structuredClone
const deep = structuredClone(original);
deep.details.city = ""Tokyo"";
console.log(original.details.city); // ""London"" (original untouched)
\`\`\`"
"8","differencebetweensynchronousandasynchronousexecution","What is the Difference Between Synchronous and Asynchronous Execution?","Execution models in JavaScript handle tasks differently:

- **Synchronous Execution**: Code is executed line-by-line in sequential order. Each statement blocks the execution of subsequent code until it finishes.
- **Asynchronous Execution**: Tasks (like API calls or timeouts) are offloaded to Web APIs, allowing the main execution thread to continue running other code. Once complete, they enter a queue and execute without blocking the main flow.

Example:
\`\`\`js
// Synchronous
console.log(""1"");
console.log(""2""); // logs: 1, 2

// Asynchronous
console.log(""1"");
setTimeout(() => console.log(""2""), 100);
console.log(""3""); // logs: 1, 3, 2
\`\`\`"
"9","whatissynchronousandasynchronousexecution","What Is Synchronous and Asynchronous Execution?","Execution models in JavaScript handle tasks differently:

- **Synchronous Execution**: Code is executed line-by-line in sequential order. Each statement blocks the execution of subsequent code until it finishes.
- **Asynchronous Execution**: Tasks (like API calls or timeouts) are offloaded to Web APIs, allowing the main execution thread to continue running other code. Once complete, they enter a queue and execute without blocking the main flow.

Example:
\`\`\`js
// Synchronous
console.log(""1"");
console.log(""2""); // logs: 1, 2

// Asynchronous
console.log(""1"");
setTimeout(() => console.log(""2""), 100);
console.log(""3""); // logs: 1, 3, 2
\`\`\`"
"10","differencebetweenfunctiondeclarationandfunctionexpression","What is the Difference Between Function Declaration and Function Expression?","The primary difference is **hoisting** behavior:

- **Function Declaration**: Loaded into memory before execution begins. Can be called *before* they are declared in the code.
- **Function Expression**: Created when the execution reaches that line. Since they are usually assigned to variables (\`var\`, \`let\`, \`const\`), they follow variable hoisting rules (calling them before definition triggers an error).

Example:
\`\`\`js
// Declaration works before line
greetDecl(); // ""Hello!""
function greetDecl() { console.log(""Hello!""); }

// Expression fails before line
greetExpr(); // TypeError or ReferenceError
var greetExpr = function() { console.log(""Hi!""); };
\`\`\`"
"11","differencebetweensettimeoutandsetinterval","What is the Difference Between setTimeout() and setInterval()?","Both are timer methods in JavaScript but have different recurring behaviors:

- **\`setTimeout()\`**: Executes a callback function **exactly once** after a specified delay.
- **\`setInterval()\`**: Repeatedly executes a callback function **at intervals** of a specified delay.

Example:
\`\`\`js
// Runs once after 1 second
setTimeout(() => console.log(""Hello""), 1000);

// Runs every 1 second continuously
const id = setInterval(() => console.log(""Tick""), 1000);
// To stop it:
clearInterval(id);
\`\`\`"
"12","differencebetweenlocalstorageandsessionstorage","What is the Difference Between localStorage and sessionStorage?","Both are web storage APIs storing key-value pairs in the browser as strings, but they differ in lifetime:

- **\`localStorage\`**: Persists data with **no expiration date**. Data remains even if the browser tab/window is closed and reopened. Must be cleared programmatically or manually.
- **\`sessionStorage\`**: Keeps data only for the duration of the page session. Data is **wiped out** when the browser tab/window is closed.

Example:
\`\`\`js
// Persists indefinitely
localStorage.setItem(""user"", ""John"");

// Deleted when tab closes
sessionStorage.setItem(""session_token"", ""xyz123"");
\`\`\`"
"13","differencebetweeneventbubblingandeventcapturing","What is the Difference Between Event Bubbling and Event Capturing?","These are the two phases of event propagation in the DOM:

- **Event Bubbling**: The event starts at the target element that triggered it and bubbles **upward** through its parent elements in the DOM tree. (Default behavior).
- **Event Capturing (Trickling)**: The event starts at the top of the DOM tree (Document/Window) and trickles **downward** to the target element.

Example:
\`\`\`js
// Capture phase (third param true)
element.addEventListener(""click"", handler, true);

// Bubbling phase (default, third param false)
element.addEventListener(""click"", handler, false);
\`\`\`"
"14","differencebetweenforinandforof","What is the Difference Between for...in and for...of?","Both iterate over structures but target different values:

- **\`for...in\`**: Iterates over the enumerable **keys (properties)** of an object (including prototype keys).
- **\`for...of\`**: Iterates over the iterable **values** of an iterable object (like Arrays, Strings, Sets, Maps).

Example:
\`\`\`js
const arr = [""a"", ""b""];

for (let key in arr) {
  console.log(key); // ""0"", ""1"" (indexes)
}

for (let val of arr) {
  console.log(val); // ""a"", ""b"" (elements)
}
\`\`\`"
"15","differencebetweenslicespliceandsubstring","What is the Difference Between slice(), splice() and substring()?","These methods extract or modify parts of arrays/strings:

1. **\`slice(start, end)\`**: (Array & String) Extracts a section and returns a **new** array/string without mutating the original. Supports negative indexes.
2. **\`splice(start, count, ...items)\`**: (Array only) Adds/removes elements to/from the original array and **mutates** it.
3. **\`substring(start, end)\`**: (String only) Similar to \`slice\`, but doesn't support negative indexes (treats them as \`0\`).

Example:
\`\`\`js
// Array slice (no mutation)
const arr = [1, 2, 3];
const sliced = arr.slice(0, 2); // [1, 2]

// Array splice (mutates)
arr.splice(1, 1, 9); // arr is now [1, 9, 3]
\`\`\`"
